aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
912384,na,na,na,na,na,0,0,0,0,12410,3444142,46023314,16217464,522104,9322,25738014,25152,58,na,0,0,48265972,37880966,20583684,10167390,na,0,3108,0,na,na,0,0,0,0,0,3732294,28207790,33031304,1257368,0,181192,185874,771600,45584242,18835804,670044,0,0,0,0,14569932,15183546,5093226,4697956,4344838,4549974,5979774,11333846,475658,6,68855276,na,na,na,na,25738014,993618,8645906,11879130,397540,345240,315160,380820,346880,341660,404160,357020,315460,912384.2,68855276,68855276,68904822,526669,na,na,1010980,66228756,1209600,na,na,na,na,55478685.12,0,10707326.4,na,na,0,0,0,130734,11972804,38796712,13979888,1181270,150978,16370,na,na,68855276,na,74452,13146,5635620,5276366,30592078,23530886,1102126,4082,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,655456,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10887134,15039430,7958290,3800292,8566444,8613822,5996898,2777986,2539192,49268,na,na
281324,2,3762,2346,0,0,4808,215720,967572,2037438,3416030,1725790,297726,26190,0,0,10093048,80772,0,0,3166680,6330452,14884214,13362180,9595596,4032312,2,0,0,0,17598,4170,0,0,0,0,0,0,86034,4767914,3837326,0,8004,5118,8170,16648,479842,4227768,2128916,1816808,0,0,4705858,1243830,778766,430078,298428,217722,191462,215096,85502,524532,27646704,5200,4896,3234,2,10093048,341440,1448608,8125930,611500,410680,521600,413300,377500,494900,431300,433620,562160,281324.17,27646704,27646704,27550424,39242,1766,92132,1024200,27168776,1209600,483824,0,214,0,15545869.44,5166424.32,6444276.48,374,932,629304,1071282,1876542,1275236,1231160,775526,803530,578972,377102,72620,254,364,27646704,0,2732,306,825600,2382658,505540,2839350,2125232,9818,38,0,3856,6116,12914046,3518170,0,5810,0,0,13142782,17832,3246,0,0,2910,5171790,0,0,0,0,298434,85778,17294,23960460,3594930,518438,92678,218540,35036,15504960,90628,0,0,4983910,886.02,828,3787316,926638,624606,269976,638838,1358354,819918,262804,2824,0,0,0
43482,0,1534,1388,0,0,0,0,40024,493856,6831358,12916128,6733314,794698,4422,0,10301516,11296,44,0,728878,2036492,13602734,5508070,18848456,7723186,26,0,0,0,7306,348,0,0,0,0,0,0,0,291972,27339768,182060,49192,6756,7406,13782,31330,1890822,23399636,1680894,733982,0,24307974,2434536,504640,274042,107830,77106,60000,42816,4410,446,33186736,29510,34446,3802,4,10301516,461414,4125432,14710494,802880,790060,783560,749440,710040,524280,748940,745040,319560,43482.96,33186736,33186736,32428662,33960,6690,93132,465360,27853888,1209600,753376,0,940,0,6318933.12,18649909.44,2790524.16,82,8528,9608,125408,3091456,8224430,11605136,3766466,563668,313436,112250,1942,72,244,33186736,0,62352,8918,6363150,11463308,1798226,5380020,2630820,106804,202,0,2274,702,4572798,731960,0,358,0,0,7006946,146456,16028,1217240,20880422,0,0,0,0,0,0,481666,3130,420,0,0,161020,21988,12160,8128,0,0,0,0,3482750,17760.86,20336,22205204,3909586,497196,121166,202272,232636,645690,50,0,0,0,0
406084,0,12182,na,0,0,4372,140526,813320,1929702,3330912,4614594,1811208,655996,42946,468,14076696,73282,2206,na,3359090,4594492,26575558,25798936,8264578,3583220,38,0,0,0,17404,2360,0,0,0,0,0,0,648976,8448930,4246138,0,114628,78614,131644,170284,3154200,6827316,1915328,952030,0,0,6491264,1809280,1239070,873826,694672,529726,405010,324398,165838,810960,38198706,3666,14444,8838,0,14076696,415094,2099426,6138608,287600,387920,337120,430120,369340,482500,359220,252700,142780,406084.22,38198706,38198706,32170588,67267,33156,na,677900,31417354,1209600,861952,na,na,na,26486839.68,0,10309877.76,4100,7032,455934,810974,1125042,1687980,3472086,2358236,1819364,1173036,404770,36622,na,1110,38198706,0,5436,624,1129158,3250118,660294,5322082,2911476,64618,238,0,11958,30540,23144100,6789044,1200,102858,0,0,24532044,47490,2112,na,na,na,na,na,na,na,na,266328,80864,18182,29049706,6357446,632636,130338,5943880,718400,24327480,41270,0,0,na,2029.22,1688,4734878,2124536,1232302,545414,997594,1786530,1118296,767068,37398,28,0,0
199350,0,468,58,0,0,0,0,0,100714,1590532,1711948,649544,95398,7226,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3700,508,0,0,0,0,0,0,0,437824,3717538,0,12694,5870,6668,10820,94506,680994,3339262,4548,0,0,1395894,1381280,368640,278254,196262,145382,112084,130346,88076,59144,0,2010,382,4520,46,0,0,0,0,na,na,na,na,na,na,na,na,0,199349.31,0,0,4269064,28571,1960,0,0,4157218,1209600,326812,0,90,0,10461493.44,113552.64,3109500.48,172,1154,0,9426,793934,1267904,1402370,551590,120050,8836,1190,62,3066,10438,0,0,4234,530,422472,296280,395488,2964102,72144,112,0,0,62,288,3186700,983782,0,442,0,0,3260800,12324,2930,10,107010,0,6798,0,0,0,0,0,44922,9992,23166422,3749362,245926,80464,114180,19712,13706486,9022,0,0,65111070,1610.64,1662,993706,544308,282224,95380,237386,479518,899682,615538,7440,180,0,0
892422,2,1342,1100,0,0,0,2716,656148,6846624,21333132,22695462,8334248,1986652,327964,17764,26875368,235886,94,0,2294762,3437188,46652870,41451492,15255118,6687458,6,0,0,0,6186,1228,0,0,0,0,0,0,23792,13840832,48285686,50400,52244,34994,48384,71232,185406,49097488,5554344,7109344,47274,0,23012672,7833952,5720658,5127916,3904614,2748506,2239066,2139132,1144070,8330124,64205334,3642,22626,99908,1378,26875368,731486,3958206,11270660,265460,346980,347980,356440,296880,334560,373960,401500,34220,892421.26,64205334,64205334,63813102,419321,21616,86480,50780,62212374,1209600,1260042,548,1032,0,43941357.12,1535.04,18235850.88,1216,5454,176938,1229048,6005028,8426506,13212502,12192052,10233412,7058654,2809886,856684,6860,6932,64205334,0,36586,4658,5471602,10833706,3557272,39006848,3216320,73358,348,12,1618,3184,43559262,23029052,0,27436,0,0,44009312,40460,612,0,0,610,1946,0,0,0,0,449008,260914,82750,93766826,14978470,911038,187328,116960,43454,58337656,43900,0,0,733953930,12161.64,10284,18397906,4428482,3500996,1980134,5102372,7882256,14095922,6605678,206190,774,0,0
1086734,na,na,na,0,0,0,0,0,0,30852,6514980,60480536,11500936,150142,48,30292908,150728,122,na,0,0,56559980,42526318,24635450,12821428,0,0,0,0,0,0,0,0,0,0,0,9836,195734,24314768,54160294,0,145308,138502,146152,139038,23191556,54215478,704588,8,2,0,28645872,13510036,6015268,4470444,4165454,6946892,11099530,3726698,99988,538,81200538,808,1778,2608,3250,30292908,1425526,11792288,12784598,390680,404820,403480,358260,373200,380560,352620,329860,11840,1086733.01,81200538,81200538,80212834,573445,3052318,na,42860,78681216,1209600,0,na,na,na,67056136.32,0,11561998.08,0,0,0,0,0,776778,33511648,38907668,5050048,385386,48232,960,na,0,81200538,na,50478,11412,2839770,6988174,28318670,39379702,1089922,2592,0,0,na,na,na,na,na,na,na,na,na,30426,2228,na,na,na,na,na,na,na,na,862028,1167566,285656,0,0,2583386,426868,46558460,16652020,0,0,0,0,na,22764.6,24858,11866174,17692108,10418606,5879290,12787218,11547080,5935580,1598690,932418,22944,0,0
176346,0,6982,5922,0,0,0,0,65836,1630616,6046848,8558602,3968884,1505456,226574,9498,9383512,62856,0,0,333186,588808,16831678,13634210,6167358,3167918,2,0,0,0,12492,662,0,0,0,0,0,0,0,11303786,10708528,0,76870,57096,115770,252764,893158,18717854,1037794,861006,2,0,11880844,3578322,1332820,949220,754338,620842,535542,453510,230214,1676662,23334738,4392,3532,11184,444,9383512,333218,1549580,4605254,330380,252020,315720,314280,348540,479600,409580,359020,71820,176346.98,23334738,23334738,23120580,93881,5442,10950,324340,22020288,1209600,805308,2520,410,0,12745801.92,4301268.48,4953680.64,2834,7114,4476,173284,1546138,3046078,6818106,5035720,2172564,1337050,1191700,687198,266,302,23334738,0,23138,2884,5299354,3383890,1627112,8260900,3315736,98514,786,0,11016,1042,12114810,2107980,40,112848,0,0,13123484,46552,800,4334400,5418598,0,0,0,0,0,0,218208,71196,14194,0,0,747882,123950,546180,94506,0,0,0,0,28429950,7061.74,7040,9531556,4754898,2428526,720862,1189150,1710512,1018248,626354,32208,0,0,0
959094,2,288,266,0,0,0,0,0,0,180878,3527598,1437266,358734,34896,246,34316356,970,0,na,3659866,5410470,60895560,54661178,35672986,8984876,0,0,0,0,104,2,0,0,0,0,0,0,0,737488,4802130,0,4422,4162,6766,30928,59916,5432664,760,0,0,0,2742524,1094932,458854,302584,202882,144236,122362,113206,63432,294606,100221284,6396,7680,3164,16,34316356,1216320,24814532,10835196,460040,448780,439420,429600,457420,436340,431660,467380,433060,959094.61,100221284,100221284,100086130,25709,938,na,1022980,78726988,1209600,157164,0,24,0,57966045.12,14783636.16,5992511.04,72,922,0,0,1204,335736,2785566,1476710,511120,344432,82570,2280,20,20,100221284,0,3732,412,1311444,496824,254166,2968300,502452,2288,0,0,660,4,3655756,1520958,0,56038,0,0,3904738,4614,1956,0,0,490,1254026,0,0,0,0,713658,25352,4386,0,0,192112,24912,232740,38322,0,0,0,0,62117860,939.3,892,1705240,922008,790862,256590,566132,1192120,86112,16760,3794,0,0,0
896410,na,na,464,0,0,0,0,0,1062,58674,1823578,5273320,2683088,104930,6366,35259548,10314,0,na,16560,32516,52298044,44330930,9272536,6742362,0,0,25982,0,20142,2424,0,0,0,0,0,354854,1797082,6492188,1306890,0,23574,8186,9926,16496,1215938,8676894,0,0,0,0,1313928,2297656,795418,890228,918026,899828,1190320,1445756,198332,1522,61596716,304,704,1264,358,35259548,922254,3430188,5773538,240440,216440,215920,180320,160740,173860,154720,174620,184760,896409.34,61596716,61596716,10005498,81325,19898,na,983740,9951030,1209600,1819184,1950,954,0,54684053.76,0,5204915.52,0,0,0,0,5022,345220,2296024,5005900,2144628,127954,23448,2818,3108,12518,61596716,na,9732,2788,270534,1280386,5863782,2172184,351268,340,0,0,450,3678,7153184,0,0,41728,0,0,8294560,37704,920,na,na,na,na,na,na,na,na,604088,531914,150006,13253600,135064,1852836,317422,1763960,26549348,34440594,51632,0,0,na,6276.44,4578,876968,2181864,1854974,818192,1365076,949514,802750,516852,581096,3730,0,0
392526,na,na,na,na,na,0,0,0,140,3052794,21106746,46084160,8260770,113934,0,29447700,3592518,972,na,24362,84412,42609000,23405842,38012598,18811550,na,0,21868,0,na,na,0,818,4944,5776,8862,29543498,34902954,13923920,227772,0,47244,17144,24274,41496,345586,78117352,22928,1974,226,320,55981496,8258310,3392938,2606504,2532514,2589482,2874008,384896,0,0,80658332,na,na,na,na,29447700,1453754,8291038,29680166,909300,900780,859040,844060,741340,712800,680160,698880,474140,392526.84,80658332,80658332,80726894,275590,na,na,650720,78620148,1209600,na,na,na,na,47054801.28,1404696.96,30113370.24,na,na,0,0,84336,4949614,15934552,37968376,16937598,2300438,418040,27194,na,na,80658332,na,64680,16520,8036838,21140716,7484964,27914078,13750458,211894,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1124398,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,32616180,32435710,5384816,2076164,2854136,2445814,583594,210220,11738,172,na,na
460990,0,3322,212,0,0,0,1094,63812,911674,4005628,3961120,1129718,170674,5732,58,13581256,1802980,0,0,3316428,8650054,11402636,6322046,17172476,7369820,40,0,0,0,11340,2560,0,0,0,0,0,0,204610,6068622,3976278,0,4152,1472,1922,2668,64406,9250410,494474,430006,0,0,3507352,1617052,1284432,914234,589396,420188,311014,261596,147566,1196680,31892918,4508,8268,10238,30,13581256,416788,2411816,14755274,724460,677480,750280,787840,749340,685960,666360,656500,311860,460989.77,31892918,31892918,31610676,65906,345508,14860,421640,31349590,1209600,687656,0,20,0,23904058.56,0,7441516.8,4,194,15424,55668,560190,1301068,2754086,2525904,1619200,700244,390676,327050,38,3048,31892918,0,5962,868,1679374,334180,536696,7189072,498532,4772,54,0,312,886,2006450,696360,0,0,0,0,2143430,28756,4158,0,0,0,0,0,0,0,0,483614,239010,46990,34750532,8482562,732490,134458,12015700,2135310,10076556,53000,0,0,76249830,1750.42,1804,2201442,1107896,864476,336864,820060,1116896,2489538,1271120,41198,20,0,0
1086734,na,na,na,0,0,0,0,0,0,30852,6514980,60480536,11501290,150142,48,30292968,150728,122,na,0,0,56560208,42526336,24636188,12821538,0,0,0,0,0,0,0,0,0,0,0,9836,195734,24315122,54160294,0,145312,138502,146152,139044,23191566,54215812,704588,8,2,0,28646226,13510036,6015268,4470444,4165454,6946892,11099530,3726698,99988,538,81201502,808,1778,2608,3250,30292968,1425534,11792798,12784822,390680,404820,403480,358260,373200,380560,352620,329860,12560,1086733.01,81201502,81201502,80213746,573445,3052318,na,43820,78681570,1209600,0,na,na,na,67056136.32,0,11562346.56,0,0,0,0,0,776778,33511648,38907668,5050354,385434,48232,960,na,0,81201502,na,50484,11414,2840076,6988178,28318676,39379732,1089922,2592,0,0,na,na,na,na,na,na,na,na,na,30426,2228,na,na,na,na,na,na,na,na,862040,1167566,285656,0,0,2583386,426868,46558460,16652020,0,0,0,0,na,22768.28,24862,11866528,17692108,10418606,5879290,12787218,11547080,5935580,1598690,932418,22944,0,0
33326,na,1298,na,0,0,0,3564,317530,1994798,867174,52518,3564,0,0,0,1151516,15630,0,0,455764,755416,1957576,1953412,904324,348662,4,0,0,0,3446,306,0,0,0,0,0,0,2862,977518,2164770,93998,43212,17258,18444,31138,1202844,1926252,0,0,0,0,544152,1383312,317672,238488,172800,127544,105556,111942,131948,105734,3317826,104,412,628,2,1151516,51476,226150,676666,352140,301180,na,na,na,na,na,na,248880,33326.24,3317826,3317826,3317522,20720,44500,88104,896540,3239148,1209600,0,na,na,na,2083135.68,613213.44,539152.32,634,974,23934,871786,1926800,367282,38524,9294,1452,76,0,0,na,0,3317826,na,1692,174,390590,822654,576966,1439044,8028,0,0,0,na,na,na,na,na,na,na,na,na,2436,104,0,0,1130,614148,0,0,0,0,42644,22042,3746,18988,3678,104702,14504,7442640,922764,0,40106,0,0,23326270,417.32,508,1162614,479098,439734,235812,431494,307222,134548,47684,942,0,0,0
776540,na,4210,na,0,0,0,0,0,3444,633036,8160018,27721940,12657456,415012,3174,25729930,3928,42,na,17008,33604,43713062,38767180,7398010,4359462,0,0,0,0,4908,254,0,0,0,0,0,926404,15811478,18368810,14487388,0,279848,478320,685660,2536938,37521456,8072248,19608,0,0,2,22159700,8026592,5298680,4196126,3469294,2519948,2263114,1428220,219050,13356,51132050,3890,3994,782,34,25729930,772740,3600654,3781258,162180,235760,226820,258140,243000,215160,184320,170980,47240,776539.58,51132050,51132050,50705016,283555,250392,na,259860,49594080,1209600,1533168,na,na,na,41912154.24,0,7639304.64,0,0,0,110,158138,3218618,16871472,23574878,5385902,338966,45252,744,na,1772,51132050,na,35170,6310,2473004,2519662,2620832,35809340,5979352,150376,34,0,2978,4036,34873464,643164,110,114906,0,222,38102948,21982,442,na,na,na,na,na,na,na,na,385142,598572,148750,92541684,18584810,2022872,342592,4184620,1598064,47146564,19082,0,0,na,11715.38,14144,7917796,7004684,5743474,3287374,6537582,5775276,5167240,3502940,4578868,78846,0,0
